question,ground_truth
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.8.7.2 state exactly? Answer with only the text of the rule and no other words.,"The peak load for the type of Impact Attenuator:
• Standard Foam Impact Attenuator 95 kN
• Standard Honeycomb Impact Attenuator 60 kN
• Tested Impact Attenuator peak as measured"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.8.7.3 state exactly? Answer with only the text of the rule and no other words.,Use the Test Method F.8.7.4 or the Calculation Method F.8.7.5 to prove the force requirement
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.8.7.4 state exactly? Answer with only the text of the rule and no other words.,"Test Method
Get the peak force from physical testing of the Impact Attenuator and any Non Crushable
Object(s) as one of the two:
a. Tested together with the Impact Attenuator
b. Tested with the Impact Attenuator not attached, and add the peak load from F.8.7.2"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.8.7.5 state exactly? Answer with only the text of the rule and no other words.,"Calculation Method
a. Calculate a failure load for the mounting of the Non Crushable Object(s) from fastener
shear, tearout, and/or link buckling
b. Add the peak attenuator load from F.8.7.2"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.8.8.1 state exactly? Answer with only the text of the rule and no other words.,All teams must include an Impact Attenuator Data (IAD) report as part of the SES.
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.8.8.2 state exactly? Answer with only the text of the rule and no other words.,"Impact Attenuator Functional Requirements
These are not test requirements
a. Decelerates the vehicle at a rate not exceeding 20 g average and 40 g peak
b. Energy absorbed must be more than 7350 J
When:
• Total mass of Vehicle is 300 kg
• Impact velocity is 7.0 m/s"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.8.8.3 state exactly? Answer with only the text of the rule and no other words.,"When using the Standard Impact Attenuator, the SES must meet the following:
a. Test data will not be submitted
b. All other requirements of this section must be included.
c. Photos of the actual attenuator must be included
d. Evidence that the Standard IA meets the design criteria provided in the Standard Impact
Attenuator specification must be included with the SES. This may be a receipt or packing
slip from the supplier."
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.8.8.4 state exactly? Answer with only the text of the rule and no other words.,"The Impact Attenuator Data Report when NOT using the Standard Impact Attenuator must
include:
a. Test data that proves that the Impact Attenuator Assembly meets the Functional
Requirements F.8.8.2
b. Calculations showing how the reported absorbed energy and decelerations have been
derived.
c. A schematic of the test method.
d. Photos of the attenuator, annotated with the height of the attenuator before and after
testing."
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.8.8.5 state exactly? Answer with only the text of the rule and no other words.,The Impact Attenuator Test is valid for only one Competition Year
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.8.8.6 state exactly? Answer with only the text of the rule and no other words.,"Impact Attenuator Test Setup
a. During any test, the Impact Attenuator must be attached to the Anti Intrusion Plate using
the intended vehicle attachment method.
b. The Impact Attenuator Assembly must be attached to a structurally representative
section of the intended chassis.
The test fixture must have equivalent strength and stiffness to a baseline front bulkhead.
A solid block of material in the shape of the front bulkhead is not “structurally
representative”.
c. There must be 50 mm minimum clearance rearwards of the Anti Intrusion Plate to the
test fixture.
d. No part of the Anti Intrusion Plate may permanently deflect more than 25 mm beyond
the position of the Anti Intrusion Plate before the test.
The 25 mm spacing represents the front bulkhead support and insures that the plate does not
intrude excessively into the cockpit."
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.8.8.7 state exactly? Answer with only the text of the rule and no other words.,"Test Conduct
a. Composite Impact Attenuators must be Dynamic Tested.
Other Impact Attenuator constructions may be Dynamic Tested or Quasi-Static Tested
b. Dynamic Testing (sled, pendulum, drop tower, etc.) of the Impact Attenuator must be
conducted at a dedicated test facility. This facility may be part of the University, but must
be supervised by professional staff or the University faculty. Teams must not construct
their own dynamic test apparatus.
c. Quasi-Static Testing may be performed by teams using their University’s
facilities/equipment, but teams are advised to exercise due care when performing all
tests."
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.8.8.8 state exactly? Answer with only the text of the rule and no other words.,"Test Analysis
a. When using acceleration data from the dynamic test, the average deceleration must be
calculated based on the raw unfiltered data.
b. If peaks above the 40 g limit are present in the data, a Channel Filter Class (CFC) 60
(100Hz) filter per SAE Recommended Practice J211 “Instrumentation for Impact Test”, or
a 100 Hz, 3rd order, low pass Butterworth (-3dB at 100 Hz) filter may be applied."
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.9 state exactly? Answer with only the text of the rule and no other words.,"FUEL SYSTEM (IC ONLY)
Fuel System Location and Protection are subject to approval during SES review and Technical
Inspection."
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.9.1.1 state exactly? Answer with only the text of the rule and no other words.,"Any portion of the Fuel System that is less than 350 mm above the ground, and all parts of the
Fuel Tank, must be inside the Primary Structure (F.1.10)."
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.9.1.2 state exactly? Answer with only the text of the rule and no other words.,"In side view, any portion of the Fuel System must not project below the lower surface of the
chassis"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.9.2 state exactly? Answer with only the text of the rule and no other words.,"Protection
All Fuel Tanks must be shielded from side or rear impact"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.10.1.1 state exactly? Answer with only the text of the rule and no other words.,"All Accumulator Containers must be:
a. Designed to withstand forces from deceleration in all directions
b. Made from a Nonflammable Material ( F.1.18 )"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.10.1.2 state exactly? Answer with only the text of the rule and no other words.,"Design of the Accumulator Container must be documented in the SES.
Documentation includes materials used, drawings/images, fastener locations, cell/segment
weight and cell/segment position."
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.10.1.3 state exactly? Answer with only the text of the rule and no other words.,"The Accumulator Containers and mounting systems are subject to approval during SES review
and Technical Inspection"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.10.1.4 state exactly? Answer with only the text of the rule and no other words.,"If the Accumulator Container is not constructed from steel or aluminum, the material
properties should be established at a temperature of 60°C"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.10.1.5 state exactly? Answer with only the text of the rule and no other words.,"If adhesives are used for credited bonding, the bond performance should be established at a
temperature of 60°C"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.10.2.1 state exactly? Answer with only the text of the rule and no other words.,"The Floor or Bottom must be made from one of the three:
a. Steel 1.25 mm minimum thickness
b. Aluminum 3.2 mm minimum thickness
c. Equivalent Alternate / Composite materials ( F.4.1, F.4.3 )"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.10.2.2 state exactly? Answer with only the text of the rule and no other words.,"Vertical Walls, Covers and Lids must be made from one of the three:
a. Steel 0.9 mm minimum thickness
b. Aluminum 2.3 mm minimum thickness
c. Equivalent Alternate / Composite materials ( F.4.1, F.4.3 )"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.10.2.3 state exactly? Answer with only the text of the rule and no other words.,"The accepted methods of joining walls to walls and walls to floor are:
a. Welding
• Welds may be continuous or interrupted.
• If interrupted, the weld/space ratio must be 1:1 or higher
• All weld lengths must be more than 25 mm
b. Fasteners
Combined strength of the fasteners must be Equivalent to the strength of the welded
joint ( F.10.2.3.a above )
c. Bonding
• Bonding must meet F.5.5
• Strength of the bonded joint must be Equivalent to the strength of the welded joint
( F.10.2.3.a above )
• Bonds must run the entire length of the joint"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.10.2.4 state exactly? Answer with only the text of the rule and no other words.,"Covers and Lids must be attached with a minimum of one fastener F.10.2.3.b for each external
vertical wall per section"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.10.3.1 state exactly? Answer with only the text of the rule and no other words.,"Walls
a. Construction of Internal walls (vertical or horizontal) separating cells and/or segments
must meet F.10.2.2
b. Internal vertical walls separating cells and/or segments:
• Must have minimum height of the full height of the Accumulator Segments
• Should extend to the lid above any segment
c. Fastened connections between the floor and any vertical wall of each Section must have
minimum of two fasteners
d. Removable horizontal interior walls must be fastened with a minimum of one fastener
for each external vertical wall per section
Folding or bending plate material to create flanges or to eliminate joints between walls is
recommended."
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.10.3.2 state exactly? Answer with only the text of the rule and no other words.,"Sections
a. Internal vertical walls divide the Accumulator Container into “Sections”
b. A maximum of 12 kg is allowed in any Section
c. Fastened connections between vertical walls around Sections containing 8kg or less must
have a minimum of two fasteners
d. Fastened connections between vertical walls around sections containing between 8 kg
and 12 kg must have a minimum of three fasteners"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.10.3.3 state exactly? Answer with only the text of the rule and no other words.,"If segments are arranged vertically above other segments, each layer of segments must have a
load path to the Chassis attachments that does not pass through another layer of segments"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.10.3.4 state exactly? Answer with only the text of the rule and no other words.,"Cells and Segments
a. The cells and/or segments must be appropriately secured against moving inside the
Container.
b. This mounting system design must withstand the following accelerations:
40 g in the longitudinal direction (forward/aft)
40 g in the lateral direction (left/right)
20 g in the vertical direction (up/down)
c. Calculations and/or tests proving these requirements are met must be included in the
SES.
d. Any fasteners must be 6 mm or 1/4” minimum diameter"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.10.4.1 state exactly? Answer with only the text of the rule and no other words.,"The Accumulator Container(s) exterior or interior walls may contain holes or openings, see
EV.4.3.4"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.10.4.2 state exactly? Answer with only the text of the rule and no other words.,Any Holes and Openings must be the minimum area necessary
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.10.4.3 state exactly? Answer with only the text of the rule and no other words.,Exterior and interior walls must cover a minimum of 75% of each face of the battery segments
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.10.4.4 state exactly? Answer with only the text of the rule and no other words.,"Holes and Openings for airflow:
a. Must be round. Slots are prohibited
b. Should be maximum 10 mm diameter
c. Must not have line of sight to the driver, with the Firewall installed or removed"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.10.5.1 state exactly? Answer with only the text of the rule and no other words.,Attachment of the Accumulator Container must be documented in the SES
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.10.5.2 state exactly? Answer with only the text of the rule and no other words.,"Accumulator Containers must:
a. Attach to the Major Structure of the chassis
A maximum of two attachment points may be on a chassis tube between two
triangulated nodes.
b. Not attach to the Shoulder Harness Mounting"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.10.5.3 state exactly? Answer with only the text of the rule and no other words.,"Any fasteners used to attach Accumulator Container(s) are Critical Fasteners, see T.8.2"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.10.5.4 state exactly? Answer with only the text of the rule and no other words.,"Each fastened attachment point to a composite Accumulator Container requires backing
plates that are one of the two:
a. Steel with a thickness of 2 mm minimum
b. Alternate materials Equivalent to 2 mm thickness steel"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.10.5.5 state exactly? Answer with only the text of the rule and no other words.,"Teams must justify the Accumulator Container attachment using one of the two methods:
• Corner Attachments and Analysis per F.10.5.6 and F.10.5.8
• Load Based Analysis per F.10.5.7 and F.10.5.8"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.10.5.6 state exactly? Answer with only the text of the rule and no other words.,"Accumulator Attachment – Corner Attachments
a. Eight or more attachments are required for any configuration.
• One attachment for each corner of a rectangular structure of multiple Accumulator
Segments
• More than the minimum number of fasteners may be required for non rectangular
arrangements
Examples: If not filled in with additional structure, an extruded L shape would require
attachments at 10 convex corners (the corners at the inside of the L are not convex);
an extruded hexagon would require 12 attachments
b. The mechanical connections at each corner must be 50 mm or less from the corner of
the Segment
c. Each attachment point must be able to withstand a Test Load equal to 1/4 of total mass
of the container accelerating at 40 g"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.10.5.8 state exactly? Answer with only the text of the rule and no other words.,"Accumulator Attachment – All Types
a. Every fastener must withstand the Test Load in pure shear, using the minor diameter if
any threads are in shear
b. Every Accumulator bracket, chassis bracket, or monocoque attachment point must
withstand the Test Load in bending, in pure tearout, pure pullout, pure weld shear if
welded, and pure bond shear and pure bond tensile if bonded.
c. Monocoque attachment points must meet F.7.8.8
d. Fasteners must be spaced minimum 50 mm apart to be counted as separate attachment
points"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.11 state exactly? Answer with only the text of the rule and no other words.,"TRACTIVE SYSTEM (EV ONLY)
Tractive System Location and Protection are subject to approval during SES review and
Technical Inspection."
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.11.1.1 state exactly? Answer with only the text of the rule and no other words.,All Accumulator Containers must lie inside the Primary Structure (F.1.10).
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.11.1.2 state exactly? Answer with only the text of the rule and no other words.,"When used, Outboard Wheel Motors and their connections must meet EV.4.1.3"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.11.1.3 state exactly? Answer with only the text of the rule and no other words.,"Tractive System (EV.1.1) components including cables and wiring other than those in F.11.1.2
above must be contained inside one or both of:
• The Rollover Protection Envelope F.1.13
• Structure meeting F.5.16 Component Protection"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.11.2.1 state exactly? Answer with only the text of the rule and no other words.,"Side Impact Protection
a. All Accumulator Containers must be protected from side impact by structure Equivalent
to Side Impact Structure (F.6.4, F.7.5)
The Accumulator Container must not be part of the Equivalent structure.
b. Accumulator Container side impact protection must go to a minimum height that is the
lower of the two:
• The height of the Upper Side Impact Structure
• The top of the Accumulator Container at that point
c. Tractive System components other than Accumulator Containers in a position below 350
mm from the ground must be protected from side impact by structure that meets F.5.16
Component Protection"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.11.2.2 state exactly? Answer with only the text of the rule and no other words.,"Rear Impact Protection
a. All Accumulator Containers must be protected from rear impact:
• When the rear impact structure is 100 mm or less from an Accumulator Container,
the structure must be Equivalent to Side Impact Structure (F.6.4, F.7.5)
• When the rear impact structure is more than 100 mm from an Accumulator
Container, the structure must meet F.5.16 Component Protection
• The Accumulator Container must not be part of the Equivalent structure.
b. The Rear Impact Protection for the Accumulator Container must:
• Go to the Upper Side Impact Height at minimum
• Have a structural and triangulated load path from the top of the Rear Impact
Protection to the Upper Side Impact Structure F.6.4, F.7.5 at the Main Hoop
• Have a structural and triangulated load path from the bottom of the Rear Impact
Protection to the Lower Side Impact Structure F.6.4, F.7.5 at the Main Hoop
c. Other Tractive System components in a position below 350 mm from the ground must be
protected from rear impact by structure meeting F.5.16 Component Protection
d. Differential mounts or a plate behind upper and lower rear impact tubes may be used as
Rear Impact Protection.
If used, the mounts or plate must be 25 mm or more larger at both the top and bottom
of the upper and lower tubes"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.11.2.3 state exactly? Answer with only the text of the rule and no other words.,"All Non Crushable Items should have a minimum 25 mm clearance to the surface of the
Accumulator Container.
Non Crushable Items include, but are not limited to motors, differentials, and the side or rear
impact structure itself. Accumulator mounts do not require clearance"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.11.2.4 state exactly? Answer with only the text of the rule and no other words.,"Non Crushable Items mounted behind the Rear Impact structure must not be able to come
through the Rear Impact structure."
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.1.1.1 state exactly? Answer with only the text of the rule and no other words.,The template shown below must pass through the cockpit opening
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.1.1.2 state exactly? Answer with only the text of the rule and no other words.,"The template will be held horizontally, parallel to the ground, and inserted vertically from a
height above any Primary Structure or bodywork that is between the Front Hoop and the
Main Hoop until it meets both of: ( refer to F.6.4 and F.7.5.1 )
a. Has passed 25 mm below the lowest point of the top of the Side Impact Structure
b. Is less than or equal to 320 mm above the lowest point inside the cockpit"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.1.1.3 state exactly? Answer with only the text of the rule and no other words.,Fore and aft translation of the template is permitted during insertion.
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.1.1.4 state exactly? Answer with only the text of the rule and no other words.,"During this test:
a. The steering wheel, steering column, seat and all padding may be removed
b. The shifter, shift mechanism, or clutch mechanism must not be removed unless it is
integral with the steering wheel and is removed with the steering wheel
c. The firewall must not be moved or removed
d. Cables, wires, hoses, tubes, etc. must not block movement of the template
During inspection, the steering column, for practical purposes, will not be removed. The
template may be maneuvered around the steering column, but not any fixed supports.
For ease of use, the template may contain a slot at the front center that the steering column
may pass through.
mm
57
mm
004
mm
001
mm
053"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.1.2.1 state exactly? Answer with only the text of the rule and no other words.,"Requirement:
a. The cockpit must have a free internal cross section
b. The template shown below must pass through the cockpit"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.1.2.2 state exactly? Answer with only the text of the rule and no other words.,"Conduct of the test. The template:
a. Will be held vertically and inserted into the cockpit opening rearward of the rearmost
portion of the steering column.
b. Will then be passed horizontally through the cockpit to a point 100 mm rearwards of the
face of the rearmost pedal when in the inoperative position
c. May be moved vertically inside the cockpit"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.1.2.3 state exactly? Answer with only the text of the rule and no other words.,"During this test:
a. If the pedals are adjustable, they must be in their most forward position.
b. The steering wheel may be removed
c. Padding may be removed if it can be easily removed without the use of tools with the
driver in the seat
d. The seat and any seat insert(s) that may be used must stay in the cockpit
e. Cables, wires, hoses, tubes, etc. must not block movement of the template
f. The steering column and associated components may pass through the 50 mm wide
center band of the template.
For ease of use, the template may contain a full or partial slot in the shaded area shown on the
figure"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.1.3.1 state exactly? Answer with only the text of the rule and no other words.,"The driver’s feet and legs must be completely contained inside the Major Structure of the
Chassis.
mm
05
mm
053"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.1.3.2 state exactly? Answer with only the text of the rule and no other words.,"While the driver’s feet are touching the pedals, in side and front views, any part of the driver’s
feet or legs must not extend above or outside of the Major Structure of the Chassis."
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.1.3.3 state exactly? Answer with only the text of the rule and no other words.,"All moving suspension and steering components and other sharp edges inside the cockpit
between the Front Hoop and a vertical plane 100 mm rearward of the pedals must be covered
by a shield made of a solid material.
Moving components include, but are not limited to springs, shock absorbers, rocker arms, anti-
roll/sway bars, steering racks and steering column CV joints."
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.1.3.4 state exactly? Answer with only the text of the rule and no other words.,"Covers over suspension and steering components must be removable to allow inspection of
the mounting points"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.1.4.1 state exactly? Answer with only the text of the rule and no other words.,"Accelerator Pedal
a. An Accelerator Pedal must control the Powertrain output
b. Pedal Travel is the percent of travel from a fully released position to a fully applied
position. 0% is fully released and 100% is fully applied.
c. The Accelerator Pedal must:
• Return to 0% Pedal Travel when not pushed
• Have a positive stop to prevent any cable, actuation system or sensor from damage
or overstress"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.1.4.2 state exactly? Answer with only the text of the rule and no other words.,"Any mechanism in the throttle system that could become jammed must be covered.
This is to prevent debris or interference and includes but is not limited to a gear mechanism"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.1.4.3 state exactly? Answer with only the text of the rule and no other words.,"All Vehicle Controls (steering, gear change, Cockpit Main Switch / Cockpit Shutdown Button)
must be operated from inside the cockpit without any part of the driver, including hands, arms
or elbows, being outside of:
a. The Side Impact Structure defined in F.6.4 / F.7.5
b. Two longitudinal vertical planes parallel to the centerline of the chassis touching the
uppermost member of the Side Impact Structure"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.1.4.4 state exactly? Answer with only the text of the rule and no other words.,"All Vehicle Controls must stay below the top-most point of the Front Hoop in any operational
position"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.1.5.1 state exactly? Answer with only the text of the rule and no other words.,"The Driver’s Seat must be protected by one of the following:
a. In side view, the lowest point of any Driver’s Seat must be no lower than the upper
surface of the lowest structural tube or equivalent
b. A longitudinal tube (or tubes) that meets the requirements for Side Impact tubing
(F.3.2.1.e), passing underneath the lowest point of the Driver Seat."
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.1.6.1 state exactly? Answer with only the text of the rule and no other words.,"When seated in the normal driving position, sufficient heat insulation must be provided to
ensure that the driver will not contact any metal or other materials which may become heated
to a surface temperature above 60°C."
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.1.6.2 state exactly? Answer with only the text of the rule and no other words.,Insulation may be external to the cockpit or incorporated with the Driver’s Seat or Firewall.
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.1.6.3 state exactly? Answer with only the text of the rule and no other words.,"The design must address all three types of heat transfer between the heat source (examples
include but are not limited to: exhaust pipe, coolant hose/tube, Accumulator Container) and
the panel that the driver could contact (seat or floor):
a. Conduction Isolation by one of the following:
• No direct contact between the heat source and the panel
• A heat resistant, conduction isolation material with a minimum thickness of 8 mm
between the heat source and the panel
b. Convection Isolation by a minimum air gap of 25 mm between the heat source and the
panel
c. Radiation Isolation by one of the following:
• A solid metal heat shield with a minimum thickness of 0.4 mm
• Reflective foil or tape when combined with conduction insulation"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.1.7.1 state exactly? Answer with only the text of the rule and no other words.,All vehicles must have a Floor Closeout to prevent track debris from entering
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.1.7.2 state exactly? Answer with only the text of the rule and no other words.,The Floor Closeout must extend from the foot area to the firewall
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.1.7.3 state exactly? Answer with only the text of the rule and no other words.,"The panel(s) must be made of a solid, non brittle material"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.1.7.4 state exactly? Answer with only the text of the rule and no other words.,"If multiple panels are used, gaps between panels must not exceed 3 mm"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.1.8.1 state exactly? Answer with only the text of the rule and no other words.,"Requirement
A Firewall(s) must separate the driver compartment and any portion of the Driver Harness
from:
a. All components of the Fuel System, the engine oil, the liquid cooling systems, any lithium
batteries
b. (EV only) All Tractive System components other than Outboard Wheel Motors EV.4.1.3
where mounted at the wheels or on the front control arms"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.1.8.2 state exactly? Answer with only the text of the rule and no other words.,"Construction
Any Firewall must:
a. Be a non permeable surface made from a rigid, Nonflammable Material
b. Seal completely against the passage of fluids (the Firewall itself, edges, any pass throughs
and Floor Closeout)
c. Be rigidly mounted"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.1.8.3 state exactly? Answer with only the text of the rule and no other words.,"Positioning
The Firewall must extend sufficiently far upwards and/or rearwards and/or sideways where
any point on the drivers body less than 100 mm above the bottom of the helmet of the tallest
driver must not be in direct line of sight with any part given in T.1.8.1 above"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.1.8.4 state exactly? Answer with only the text of the rule and no other words.,"Details
a. Firewalls composed of multiple panels must overlap and be sealed at the joints
Sealing between firewalls must not be a stressed part of the Firewall
b. Grommets must be used to seal any pass through for wiring, cables, etc
c. Any seals or adhesives used with the Firewall must be rated for the application
environment"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.1.8.5 state exactly? Answer with only the text of the rule and no other words.,(EV only) The Accumulator Container must not be part of the Firewall
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.1.9.1 state exactly? Answer with only the text of the rule and no other words.,Tractive System Firewalls must meet the requirements of T.1.8 above
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.1.9.2 state exactly? Answer with only the text of the rule and no other words.,"Tractive System Firewalls must be:
a. Made of aluminum
b. Grounded, refer to EV.6.7 Grounding"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.2.1 state exactly? Answer with only the text of the rule and no other words.,"Harness Definitions
a. 5 Point Harness – consists of two Lap Belts, two Shoulder Belts and one Anti-Submarine
Belt.
b. 6 Point Harness – consists of two Lap Belts, two Shoulder Belts and two leg or Anti-
Submarine Belts.
c. 7 Point Harness – consists of two Lap Belts, two Shoulder Belts, two leg or Anti-
Submarine Belts and a negative g or Z Belt.
d. Upright Driving Position - with a seat back angled at 30° or less from the vertical as
measured along the line joining the two 200 mm circles of the template of the 95th
percentile male as defined in F.5.6.4 and positioned per F.5.6.5
e. Reclined Driving Position - with a seat back angled at more than 30° from the vertical as
measured along the line joining the two 200 mm circles of the template of the 95th
percentile male as defined in F.5.6.4 and positioned per F.5.6.5
f. Chest to Groin Line - the straight line that in side view follows the line of the Shoulder
Belts from the chest to the release buckle."
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.2.2.1 state exactly? Answer with only the text of the rule and no other words.,"The vehicle must use a 5, 6 or 7 Point Harness meeting one or more of the following:
a. SFI Specification 16.1
b. SFI Specification 16.5
c. FIA specification 8853/2016"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.2.2.2 state exactly? Answer with only the text of the rule and no other words.,"The belts must have the original manufacturers labels showing the specification and
expiration date"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.2.2.3 state exactly? Answer with only the text of the rule and no other words.,"The Harness must be in or before the year of expiration shown on the labels. Harnesses
expiring on or before Dec 31 of the calendar year of the competition are permitted."
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.2.2.4 state exactly? Answer with only the text of the rule and no other words.,"The Harness must be in new or like new condition, with no signs of wear, cuts, chaffing or
other issues"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule T.2.2.5 state exactly? Answer with only the text of the rule and no other words.,"All Harness hardware must be installed and threaded in accordance with manufacturer’s
instructions"
